,상권코드,분기,상권구분,상권명,총생활인구수,10대생활인구,20대생활인구,30대생활인구,40대생활인구,50대생활인구,60대이상생활인구,00-06생활인구,06-11생활인구,11-14생활인구,14-17생활인구,17-21생활인구,21-24생활인구,월요일생활인구,화요일생활인구,수요일생활인구,목요일생활인구,금요일생활인구,토요일생활인구,일요일생활인구,평일생활인구,주말생활인구
96,1001400,2,전통시장,신월3동골목시장,177067,25568,18087,23111,25348,30348,54605,54196,38106,19806,19190,25706,20064,24742,24391,24245,24320,24315,26505,28550,122013,55055
97,1001399,2,전통시장,경창시장,90617,18516,8445,12354,14449,12032,24822,20713,14787,10430,11835,18760,14091,12756,12522,12831,12670,12818,13502,13519,63597,27021
98,1001398,2,전통시장,월정로시장,172710,21917,15765,23115,25659,29874,56382,49473,30643,17999,19311,29473,25811,24434,23982,24564,24063,24447,25382,25838,121490,51220
99,1001397,2,전통시장,신영시장,229004,27501,22724,31363,33179,36659,77577,47510,37435,28228,32776,49884,33172,32104,31865,32103,31815,32268,34739,34109,160155,68848
100,1001396,2,전통시장,목4동시장,275768,72002,32172,32157,42801,42116,54522,76054,57448,31373,30366,43215,37312,39301,39285,39265,39142,39490,39207,40078,196483,79285
101,1001395,2,전통시장,목3동시장,393645,47958,60655,77081,62032,57042,88876,80766,75039,52672,54854,77436,52877,56450,55964,56046,55447,55954,57159,56626,279861,113785
102,1001394,2,전통시장,목2동시장,332379,35845,57110,74518,49746,45038,70121,75011,61017,40797,44948,67511,43093,46352,46384,46607,46322,46912,49508,50297,232577,99805
103,1001393,2,전통시장,마포농수산물시장,8886,1062,1066,1458,1638,1406,2256,1182,1829,1589,1833,1878,576,1189,1186,1265,1187,1198,1441,1416,6025,2857
104,1001392,2,전통시장,동진시장,48811,3681,16188,10675,6554,5109,6606,12959,9252,5467,5984,9084,6064,6458,6545,6723,6696,6836,7790,7764,33258,15554
105,1001391,2,전통시장,망원월드컵시장,313275,45357,52010,59149,56622,38765,61372,71051,56728,39007,43576,63101,39811,43591,43446,44399,43315,44062,47338,47125,218813,94463
106,1001390,2,전통시장,망원시장,326472,35938,59642,69626,51632,37490,72144,82907,59983,38264,42142,61847,41330,43457,44455,45853,44301,45167,51630,51608,223233,103238
107,1001389,2,전통시장,합정시장,74052,5446,19552,18236,12004,9300,9516,8134,13057,12459,13434,18626,8342,10873,11169,10951,11226,11467,9839,8528,55686,18367
108,1001388,2,전통시장,영진시장,40608,3337,9594,9975,6765,5069,5865,7878,7331,5997,6466,8170,4765,5970,5983,6044,6087,6108,5463,4952,30192,10415
109,1001387,2,전통시장,서교시장,81776,9957,32524,14754,9937,7161,7439,11092,11447,12020,15675,22817,8726,10470,10624,11364,10845,11868,14139,12467,55171,26606
110,1001386,2,전통시장,신수시장,33885,5555,4606,5410,5691,5405,7220,8998,7070,4095,4035,5504,4184,4772,4807,4796,4726,4798,4934,5051,23899,9985
111,1001385,2,전통시장,아현시장,312968,57910,39277,52546,47714,46828,68692,55309,65603,46558,49499,62046,33953,44915,46274,45497,46256,46093,43132,40801,229035,83933
112,1001384,2,전통시장,마포시장,26835,2366,4670,5727,5144,4500,4428,2699,5624,5478,5353,5597,2084,4310,4390,4193,4456,4391,2762,2333,21740,5095
113,1001383,2,전통시장,공덕시장,30518,2841,5195,6586,5754,5113,5027,4437,6360,5739,5543,5841,2599,4840,4939,4765,4978,4948,3273,2777,24470,6050
114,1001382,2,전통시장,백련시장,53363,6507,9492,7954,8205,7754,13450,13864,10940,6201,6538,9039,6781,7483,7414,7439,7409,7439,8083,8096,37184,16179
115,1001381,2,전통시장,모래내시장,75801,16592,8981,11693,13435,9907,15193,16173,14921,10264,11299,14494,8649,10847,10886,10970,10858,10930,11002,10309,54491,21311
116,1001380,2,전통시장,포방터시장,174916,29939,19395,17583,23098,28794,56106,41490,34282,22402,22459,32575,21708,23857,23539,23912,23467,23884,27205,29050,118659,56255
117,1001379,2,전통시장,인왕시장,126401,16222,15568,14811,16950,21231,41620,15074,22973,19883,22663,30850,14959,18468,18206,17923,18254,18413,18178,16961,91264,35139
118,1001378,2,전통시장,아현가구거리상점가,207356,24318,29540,43103,41055,31318,38024,39058,45526,32597,33449,35459,21268,32344,32447,31174,32339,31412,23890,23751,159716,47641
119,1001377,2,전통시장,영천시장,303354,45548,36013,46263,54318,48262,72952,64098,58142,40902,41686,59920,38606,43641,43365,43551,44120,44228,42762,41688,218905,84450
120,1001376,2,전통시장,수일시장,47236,4195,5381,7809,7690,8538,13622,7154,10054,7227,7329,9860,5610,6939,6879,6764,6938,6879,6630,6204,34399,12834
121,1001375,2,전통시장,증산종합시장,13724,2213,1650,1946,2040,2272,3603,2208,2680,2170,2287,2808,1571,2017,2028,1971,2015,1990,1915,1788,10021,3703
122,1001374,2,전통시장,대림골목시장,238959,26345,30845,33736,36733,40478,70820,49895,45794,31527,34293,47338,30112,33806,33370,33818,32991,33479,35706,35790,167464,71496
123,1001373,2,전통시장,신응암시장,88878,14784,9109,16342,17015,11752,19876,22301,17993,10606,11027,15559,11392,12673,12370,12562,12234,12208,13350,13480,62047,26830
124,1001372,2,전통시장,녹번시장,40562,7631,4856,6465,6604,6030,8978,9038,8548,5084,4895,7926,5069,5815,5648,5597,5756,5860,6051,5834,28676,11885
125,1001371,2,전통시장,대조시장,48486,3944,7094,8286,7004,8606,13550,13330,9107,5165,5540,8491,6851,6761,6635,6882,6689,6733,7366,7420,33700,14786
