,상권코드,분기,상권구분,상권명,서비스업종,점포수,분기당매출,주중매출금액,주말매출금액,10대매출,20대매출,30대매출,40대매출,50대매출,60대이상매출,00~06매출,06~11매출,11~14매출,14~17매출,17~21매출,21~24매출
13488,1001088,2,발달상권,삼성역_1,한식음식점,97,8430924917,7866355246,564569671,5742776,758574305,1580056024,1331391867,871316563,341185450,71725,39442068,3888553364,284239359,2873050259,1345568142
13489,1001087,2,발달상권,서울 강남구 선릉역_2,한식음식점,138,10810022055,9533675516,1276346539,17252531,1076542281,1963289236,1805317599,1473165439,1130497008,41189752,89978743,3848134199,627853517,4317684130,1885181714
13490,1001086,2,발달상권,고속터미널역,한식음식점,59,7945571228,5656532861,2289038367,32863802,1241269600,1613965954,1366039299,1451813901,1201646991,12400306,274654061,3142423076,1397001789,2576583082,542508914
13491,1001085,2,발달상권,서울 서초구 강남역,한식음식점,245,24523560218,19374589619,5148970599,284837454,6963578827,5628455117,2875786178,2337948697,1385959195,53555619,204413931,7328679585,2176127069,10519398993,4241385021
13492,1001084,2,발달상권,서울 강남구 선릉역_1,한식음식점,35,3090446428,2712787181,377659247,2487156,273764264,581883054,438929458,412895702,295696319,113141,81843316,1173243567,185774829,1254059012,395412563
13493,1001083,2,발달상권,서울 송파구 석촌역_2,한식음식점,6,306651007,234930427,71720580,541626,31918162,62368054,59251232,60383949,54517384,683281,23364882,60424553,20973399,135636500,65568392
13494,1001082,2,발달상권,선릉역_2,한식음식점,178,19629827127,16483650383,3146176744,113471216,2852465010,4346849337,3174535043,2217924623,1114839169,32572651,256898614,5657788372,1144042556,9139219166,3399305768
13495,1001081,2,발달상권,서울 강남구 역삼역_2,한식음식점,94,8366570282,7422316979,944253303,6695306,733943629,1436611439,1365424497,800066946,440119320,32612575,200933983,2925615272,448074956,3265772411,1493561085
13496,1001080,2,발달상권,서울 송파구 석촌역_1,한식음식점,7,451043109,323611342,127431767,558004,73402436,125674763,67439628,71151209,64155003,945961,32024228,104383944,28611600,176280882,108796494
13497,1001078,2,발달상권,서울 강남구 강남역_2,한식음식점,135,10978256182,8352168821,2626087361,162038823,3473038059,2538433244,1398144413,1111163450,602190115,23191827,152750242,2407103961,883078514,4756993956,2755137682
13498,1001077,2,발달상권,선릉역_1,한식음식점,48,2279280448,2037826143,241454305,616934,195847710,367999937,387291954,363623987,263600110,1220417,19817035,1196201190,146544281,678513101,236984424
13499,1001076,2,발달상권,구로역,한식음식점,26,994615348,765455587,229159761,1085369,130616145,188700031,239318922,176009994,121759472,941798,417990,84732111,54166974,581122142,273234333
13500,1001075,2,발달상권,역삼역_2,한식음식점,12,525019993,494891745,30128248,543364,52658271,97081047,93995707,65231561,43791914,7189023,10272851,318527778,20996668,108966324,59067349
13501,1001074,2,발달상권,대림역_2,한식음식점,15,868881605,664215846,204665759,679872,69824734,135516366,149049913,158207162,132170857,3977466,104659538,357027168,83277007,208193110,111747316
13502,1001073,2,발달상권,서울 강남구 역삼역_1,한식음식점,179,15143339433,13392994056,1750345377,18598002,1810296755,2940053185,2207318207,1622315872,1023699510,71556398,391963457,6474888938,815102966,5079604110,2310223564
13503,1001072,2,발달상권,신대방삼거리역,한식음식점,49,2986343930,1979582065,1006761865,43627065,581741598,685679123,572493970,579340667,347010417,25074938,48159785,359550775,389470047,1520711603,643376782
13504,1001071,2,발달상권,서울 강남구 한티역,한식음식점,54,5328766214,3733640410,1595125804,115548192,691066401,712306935,1267216453,1140473096,473110442,37499924,59124201,1275617903,604416211,2450143782,901964193
13505,1001070,2,발달상권,은마아파트입구사거리_4,한식음식점,5,46693476,42477429,4216047,32520,1124608,1232047,1254276,2312610,457335,0,2311375,28055933,1354716,14971452,0
13506,1001069,2,발달상권,은마아파트입구사거리_3,한식음식점,1,112430904,69318887,43112017,12286229,12795230,10940070,29320510,33119346,7683789,0,351681,48578645,19876623,42061426,1562529
13507,1001068,2,발달상권,은마아파트입구사거리_2,한식음식점,20,861230654,592515406,268715248,37214781,66559220,71211359,234098269,227370667,86618708,0,24459748,273735151,111924212,381128316,69983227
13508,1001067,2,발달상권,오류동역,한식음식점,60,1841381071,1279870163,561510908,11368092,282969170,370530536,323731044,361219353,420282768,1710150,30456132,379576777,175578845,860294723,393764444
13509,1001066,2,발달상권,서울 강남구 강남역,한식음식점,137,11215498228,9490415394,1725082834,56368654,1949029082,2874212109,1877913116,1354718615,630744617,6830042,64536315,3083948239,659542160,4840304169,2560337303
13510,1001065,2,발달상권,은마아파트입구사거리_1,한식음식점,9,292735315,197175903,95559412,7428038,18134140,22167585,67599352,67768076,51865397,0,1394084,77699485,42169600,136249465,35222681
13511,1001064,2,발달상권,대림역_1,한식음식점,13,732339807,486334503,246005304,682677,58169209,113568617,143718646,189870247,159981785,655951,3901889,231427030,99751276,325204988,71398673
13512,1001063,2,발달상권,교대역_4,한식음식점,42,4337951163,3659601435,678349728,3391017,211322470,486016828,623729485,695361961,688097505,1385184,87353634,2003234075,310968677,1491050204,443959389
13513,1001062,2,발달상권,서울 강남구 강남역_1,한식음식점,86,6595521763,5637072561,958449202,10173994,683031568,1358304505,1011802747,782735314,512052809,759218,23015084,2542736194,503349484,2533724075,991937708
13514,1001061,2,발달상권,방배동카페골목,한식음식점,45,3175398344,2183300230,992098114,17010922,295562674,494357416,670982644,632897299,460972243,1488932,28399691,724127685,317429115,1569445154,534507767
13515,1001060,2,발달상권,가락시장,한식음식점,13,9981997279,6448071478,3533925801,5280913,874441198,1704621154,1774673188,1943938112,1637501879,131228336,667459031,1580884828,1579807521,3991496105,2031121458
13516,1001059,2,발달상권,교대역_3,한식음식점,53,4898826834,4269010546,629816288,942502,153097848,544277067,610473661,702323126,661965308,280132,66964568,2144485326,340207964,1649055287,697833557
13517,1001058,2,발달상권,역삼역_1,한식음식점,55,3037009385,2605764072,431245313,3852238,420073425,631836095,515299067,312303147,173996837,9167317,9971142,1072491272,131942157,1239834837,573602660
13518,1001057,2,발달상권,교대역_2,한식음식점,53,6533002491,5603477511,929524980,21378190,401718039,752822585,822877592,996119222,901322595,567214,34146664,2557844502,431734872,2580096636,928612603
13519,1001056,2,발달상권,서울 송파구 가락시장역,한식음식점,35,2224985659,1725566158,499419501,9402039,241435866,431285346,389421256,354853652,302592859,2786010,92600429,626558675,213964829,925547437,363528279
13520,1001055,2,발달상권,서울 서초구 서초역,한식음식점,24,2277902950,1980903034,296999916,212185,80394537,287935817,318622049,432817005,363223348,0,15014802,1362113048,208475227,540120980,152178893
13521,1001054,2,발달상권,서울 강남구 대치역_2,한식음식점,25,1238539622,864272907,374266715,4508846,57850941,99144007,245080729,288256114,253317230,2244088,1362146,405745859,148256358,566008382,114922789
