,상권코드,분기,상권구분,상권명,총생활인구수,10대생활인구,20대생활인구,30대생활인구,40대생활인구,50대생활인구,60대이상생활인구
910,1000585,2,골목상권,등촌로39길,841773,177314,101063,138484,120612,112392,191910
911,1000584,2,골목상권,등촌로13길,819729,166645,98184,136819,131051,105405,181626
912,1000583,2,골목상권,남부순환로11길,875895,155371,116247,161729,139029,113496,190023
913,1000582,2,골목상권,까치산로4길,828641,138323,114410,152552,133340,103859,186158
914,1000581,2,골목상권,국회대로7길,559745,76872,66512,91530,93225,84603,147003
915,1000580,2,골목상권,공항대로8길,772562,130996,111979,132496,107449,103275,186367
916,1000579,2,골목상권,공항대로61길,618985,95638,85463,130748,109320,81435,116381
917,1000578,2,골목상권,공항대로59다길,947430,151781,128988,204730,172562,118452,170919
918,1000577,2,골목상권,공항대로59길,452584,59901,76680,98259,73168,57213,87363
919,1000576,2,골목상권,공항대로55길,537569,85275,78888,114703,85282,69311,104110
920,1000575,2,골목상권,공항대로42길,296932,50901,41522,47213,54303,43999,58991
921,1000574,2,골목상권,공항대로38길,209735,26288,38615,39514,39033,30422,35862
922,1000573,2,골목상권,곰달래로60길,453978,55658,58660,72212,76370,71881,119196
923,1000572,2,골목상권,곰달래로53길,804446,184725,85045,110148,127243,108189,189096
924,1000571,2,골목상권,곰달래로47길,683612,134972,80875,103520,109206,93773,161267
925,1000570,2,골목상권,곰달래로31길,690670,144666,92795,116206,116693,83583,136726
926,1000569,2,골목상권,곰달래로25길,489403,66003,73948,93590,78940,64020,112901
927,1000568,2,골목상권,개화동로25길,762126,97704,119782,123359,110523,117523,193237
928,1000567,2,골목상권,개화동로23길,980781,146659,125439,148751,134861,149995,275077
929,1000566,2,골목상권,강서로8길,1283106,197548,172672,257422,210685,173683,271097
930,1000565,2,골목상권,강서로5라길,811815,120253,95668,138110,141286,113286,203212
931,1000564,2,골목상권,강서로5나길,2123107,136876,441055,503162,319107,270614,452294
932,1000563,2,골목상권,강서로5가길,1620016,200297,283381,341063,260042,210055,325176
933,1000562,2,골목상권,강서로47라길,783242,274812,85893,89324,124028,98822,110363
934,1000561,2,골목상권,강서로47길,1125232,361359,113385,124651,190548,145604,189686
935,1000560,2,골목상권,강서로45다길,814515,125636,102874,128498,121772,113451,222284
936,1000559,2,골목상권,강서로45길,561576,154789,57112,64628,89042,71207,124796
937,1000558,2,골목상권,강서로35길,570687,60164,83489,101919,86196,86017,152904
938,1000557,2,골목상권,강서로29길,632435,75942,108092,127026,98844,85129,137402
939,1000556,2,골목상권,강서로18길,1133433,176943,161866,182561,186335,156307,269422
940,1000555,2,골목상권,강서로17가길,502309,56736,75653,90976,75914,70089,132939
941,1000554,2,골목상권,강서로15길,1095119,118264,176961,214594,160341,147409,277550
942,1000553,2,골목상권,가로공원로80길,487369,80319,67062,83649,71503,68151,116688
943,1000552,2,골목상권,가로공원로76가길,502344,74936,64176,84116,73127,73185,132802
944,1000551,2,골목상권,화곡로4길,203646,35652,24810,27801,32208,34699,48477
